id;start_date;end_date;language
1;2024-09-20T19:29:06;2024-09-20T07:03:38;FRENCH
2;2024-09-20T01:28:27;2024-09-20T08:11:35;SPANISH
3;2024-09-19T23:34:07;2024-09-20T01:23:04;ENGLISH
4;2024-09-20T18:23:23;2024-09-20T19:48:35;ENGLISH
5;2024-09-20T04:22:16;2024-09-19T21:47:39;ENGLISH
6;2024-09-20T05:34:52;2024-09-20T16:54:33;SPANISH
7;2024-09-20T16:26:46;2024-09-20T09:50:27;SPANISH
8;2024-09-20T13:56:16;2024-09-20T07:26:43;SPANISH
9;2024-09-20T12:13:03;2024-09-20T10:46:04;FRENCH
10;2024-09-20T02:34:05;2024-09-20T00:54:03;ENGLISH
