id;street_address;postal_code;city;state_province
1;fudge yippee democrat;unto logic;Reis do Norte;until
2;shameless unless;lustrous;Costa de Nossa Senhora;blah atop music-making
3;kindly yowza;proud woot guitar;Nogueira do Descoberto;princess
4;daring;machinery;Marina do Descoberto;once famously oh
5;an apropos than;trigonometry peddle;João de Nossa Senhora;miserably how quarrelsomely
6;aromatic;gadzooks;Braga de Nossa Senhora;whose
7;how;group till proceedings;Macedo de Nossa Senhora;false solidly blah
8;overconfidently outside;mistake;Ladislau do Norte;phew underneath
9;questioningly defrock armpit;blister wherever;Noah do Norte;now
10;liquid;reformat;Pereira do Sul;ignorance or which
